interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NJ,NJ02,58 to 67,1,0
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Liberal,employed,The United States,Female,West,Spanish,white,"$60,000 to $64,999",Other post high school vocational training,CA,CA29,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$20,000 to $24,999",High school graduate,DE,DE00,68 to 77,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,PA,PA05,58 to 67,0,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,South,Venezuelan,"other race, nec","$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,FL25,28 to 37,0,0
Most of the time,Registered,Don't recall,Not sure,Donald Trump,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999",3rd Grade or less,IN,,18 to 27,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,West,Mexican,"other race, nec","$35,000 to $39,999","Completed some college, but no degree",AZ,AZ06,18 to 27,0,1
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",TX,TX35,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above","Completed some graduate, but no degree",NY,NY04,58 to 67,1,0
Hardly at all,Don't know,Was not eligible to vote,Not sure,I am not sure/don't know,Very Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999",Completed some high school,WA,WA06,28 to 37,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Mexican,white,"$20,000 to $24,999",Completed some high school,NY,NY26,38 to 47,1,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$175,000 to $199,999",Masters degree,TN,TN01,38 to 47,0,0
Only now and then,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,black/african american/negro,"$150,000 to $174,999","Completed some college, but no degree",CA,CA02,18 to 27,0,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999",Completed some high school,WA,WA06,18 to 27,0,1
Some of the time,Not registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Male,West,Not Hispanic,"other race, nec","$45,000 to $49,999","Completed some graduate, but no degree",CA,CA52,18 to 27,0,0
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",WI,WI08,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Mexican,white,"$75,000 to $79,999",Associate Degree,AZ,,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$60,000 to $64,999",Masters degree,MO,MO05,28 to 37,0,1
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,South,Colombian,white,"Less than $14,999",High school graduate,AL,AL05,18 to 27,0,1
Most of the time,Registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,NA,employed,The United States,Male,Midwest,Not Hispanic,white,"$35,000 to $39,999",Completed some high school,MO,MO02,28 to 37,0,0
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,NA,The United States,Male,Midwest,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",OH,OH08,48 to 57,0,0
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Mexican,white,"$50,000 to $54,999",Masters degree,CA,CA51,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Mexican,black/african american/negro,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",AZ,AZ05,48 to 57,1,0
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",CA,CA03,28 to 37,0,0
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Completed some high school,TX,TX06,48 to 57,1,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,not in labor force,Another country,Female,West,Mexican,white,"$30,000 to $34,999",High school graduate,CA,CA25,18 to 27,0,1
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,chinese,"$95,000 to $99,999","Completed some graduate, but no degree",CA,CA27,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",Completed some high school,MN,MN06,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",NY,NY12,38 to 47,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,other asian or pacific islander,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",CA,CA14,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,employed,Another country,Male,West,Mexican,white,"Less than $14,999","Completed some college, but no degree",CA,CA30,48 to 57,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,white,"$70,000 to $74,999",Other post high school vocational training,LA,LA03,28 to 37,0,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,unemployed,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",LA,LA01,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Mexican,"other race, nec","$45,000 to $49,999",Completed some high school,NY,NY16,18 to 27,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999",Completed some high school,CT,CT05,58 to 67,0,1
Hardly at all,Registered,Don't recall,Not sure,I would not vote,Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"Less than $14,999",Other post high school vocational training,TN,TN09,18 to 27,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",AL,AL03,38 to 47,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Liberal,unemployed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999",Associate Degree,AZ,AZ04,28 to 37,1,0
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$85,000 to $89,999",High school graduate,CA,CA04,18 to 27,0,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$20,000 to $24,999",High school graduate,OH,OH11,18 to 27,0,1
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,unemployed,The United States,Female,South,Mexican,"other race, nec","Less than $14,999",Completed some high school,LA,LA04,28 to 37,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Moderate,employed,The United States,Female,Midwest,Not Hispanic,"other race, nec","Less than $14,999",Doctorate degree,KS,KS01,18 to 27,0,0
Only now and then,Registered,Gary Johnson,"No, I will not vote but I am eligible",Someone else,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,AR,AR01,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,West,Not Hispanic,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",UT,UT01,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Mexican,"other race, nec","$80,000 to $84,999",Middle School - Grades 4 - 8,AZ,AZ08,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$25,000 to $29,999","Completed some college, but no degree",CA,CA25,68 to 77,0,1
Only now and then,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999",High school graduate,OH,OH08,38 to 47,0,0
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Liberal,employed,The United States,Female,Northeast,Mexican,"other race, nec","$250,000 and above",Associate Degree,MA,MA03,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,South,Mexican,white,"$90,000 to $94,999","Completed some college, but no degree",TX,TX21,18 to 27,0,1
Only now and then,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,CA,CA44,28 to 37,0,1
Most of the time,Not registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,Another country,Male,West,Mexican,"other race, nec","Less than $14,999",Completed some high school,CA,CA38,28 to 37,0,0
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,unemployed,Another country,Male,South,Other Hispanic,other asian or pacific islander,NA,Completed some high school,NC,NC04,18 to 27,0,0
Some of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TX,TX12,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,employed,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Masters degree,VA,VA10,38 to 47,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,not in labor force,Another country,Female,South,Not Hispanic,other asian or pacific islander,NA,"College Degree (such as B.A., B.S.)",OK,OK05,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,West,Mexican,"other race, nec","$60,000 to $64,999","Completed some college, but no degree",ID,ID01,38 to 47,0,0
Only now and then,Registered,Don't recall,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",CA,CA26,68 to 77,1,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Not Sure,employed,The United States,Male,South,Mexican,"other race, nec","Less than $14,999",High school graduate,TX,TX28,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,american indian or alaska native,"Less than $14,999",Other post high school vocational training,NC,NC09,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,West,Not Hispanic,chinese,"$100,000 to $124,999",Masters degree,CA,CA15,38 to 47,1,0
Most of the time,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I am not sure/don't know,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"Less than $14,999",Completed some high school,CA,CA05,38 to 47,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,Northeast,Other Hispanic,white,"$45,000 to $49,999",High school graduate,NY,NY18,58 to 67,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NJ,NJ10,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,"$75,000 to $79,999",Doctorate degree,CA,CA12,28 to 37,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",Someone else,Conservative,employed,The United States,Male,West,Not Hispanic,chinese,"$250,000 and above",Doctorate degree,CA,CA45,48 to 57,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,Another country,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,IL,IL06,58 to 67,0,1
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,not in labor force,Another country,Male,West,Not Hispanic,other asian or pacific islander,"$65,000 to $69,999",Associate Degree,CA,CA03,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Very Liberal,employed,The United States,Female,West,Mexican,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",CA,CA26,28 to 37,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999",Masters degree,AL,AL05,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,DC,DC00,38 to 47,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",FL,FL10,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$250,000 and above",Masters degree,CA,CA02,68 to 77,0,1
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,not in labor force,The United States,Male,West,Spanish,"other race, nec","Less than $14,999",High school graduate,CA,CA51,48 to 57,0,0
Only now and then,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999","Completed some graduate, but no degree",SC,SC03,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",VA,VA09,48 to 57,1,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,unemployed,The United States,Male,West,Not Hispanic,american indian or alaska native,"Less than $14,999",Completed some high school,AZ,AZ08,28 to 37,0,0
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,not in labor force,Another country,Female,West,Not Hispanic,other asian or pacific islander,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",WA,WA05,58 to 67,1,0
Some of the time,Not registered,Was not eligible to vote,Not sure,I am not sure/don't know,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,PA,PA09,48 to 57,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,West,Not Hispanic,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",CO,CO05,28 to 37,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999","Completed some graduate, but no degree",NY,NY12,38 to 47,1,0
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",PA,PA13,58 to 67,0,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,The United States,Male,Midwest,Not Hispanic,white,"$20,000 to $24,999",High school graduate,MO,MO02,28 to 37,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Mexican,"other race, nec","$85,000 to $89,999","College Degree (such as B.A., B.S.)",FL,FL14,38 to 47,1,0
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,unemployed,The United States,Female,South,Not Hispanic,american indian or alaska native,"$25,000 to $29,999",Other post high school vocational training,OK,OK05,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$175,000 to $199,999",Masters degree,PA,PA02,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$55,000 to $59,999",Masters degree,NY,NY16,38 to 47,1,0
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Completed some high school,TX,TX19,28 to 37,1,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,West,Mexican,"other race, nec","$35,000 to $39,999",Other post high school vocational training,CA,CA28,18 to 27,0,1
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,employed,The United States,Female,West,Mexican,white,"$30,000 to $34,999","Completed some college, but no degree",NM,NM02,38 to 47,0,0
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",LA,LA03,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"Less than $14,999",High school graduate,OR,OR01,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,CT,CT04,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,The United States,Female,West,Not Hispanic,japanese,NA,"College Degree (such as B.A., B.S.)",HI,HI02,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",NJ,NJ01,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"$95,000 to $99,999","Completed some college, but no degree",IL,IL17,18 to 27,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$150,000 to $174,999",Masters degree,CA,CA15,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999",Masters degree,AL,,38 to 47,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",FL,FL06,48 to 57,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,american indian or alaska native,"$50,000 to $54,999",Associate Degree,TN,TN07,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$175,000 to $199,999",Masters degree,MI,MI04,38 to 47,1,0
Only now and then,Registered,Hillary Clinton,Not sure,I am not sure/don't know,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999",Middle School - Grades 4 - 8,WV,WV01,58 to 67,0,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$70,000 to $74,999",Other post high school vocational training,OH,OH07,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",FL,FL07,68 to 77,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",NV,NV01,68 to 77,0,1
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,unemployed,The United States,Male,Northeast,Not Hispanic,white,"$15,000 to $19,999",High school graduate,CT,CT02,38 to 47,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,black/african american/negro,"$100,000 to $124,999","Completed some graduate, but no degree",CA,CA07,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",VA,VA09,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",TX,TX30,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$15,000 to $19,999","Completed some college, but no degree",FL,FL09,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$95,000 to $99,999","Completed some college, but no degree",FL,FL08,48 to 57,0,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IN,IN01,28 to 37,0,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999",High school graduate,MI,MI01,48 to 57,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Female,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",LA,LA04,68 to 77,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,other asian or pacific islander,"$45,000 to $49,999","Completed some college, but no degree",HI,HI01,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$40,000 to $44,999",Masters degree,IN,IN08,78 to 87,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,Another country,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",GA,GA12,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",Masters degree,GA,GA01,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999",Masters degree,CT,CT02,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",PA,PA16,58 to 67,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",CA,CA33,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,NC,NC13,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,NY,NY06,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Doctorate degree,MA,MA04,68 to 77,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",KS,KS04,58 to 67,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",MD,MD03,38 to 47,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$15,000 to $19,999",Associate Degree,OH,OH13,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999","Completed some graduate, but no degree",NY,NY23,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,TN,TN02,28 to 37,0,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Other Hispanic,white,"$50,000 to $54,999",Masters degree,GA,GA10,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,WA,WA10,38 to 47,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,NA,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999",Completed some high school,FL,FL02,38 to 47,0,1
